length,time,percent,currency,weight,label
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
0,0,0,1,0,4
